Entry	Protein names	Gene Names	Organism
P09774	Achaete-scute complex protein T3 (Protein lethal of scute) (Lethal of sc)	l(1)sc l'sc T3 CG3839	Drosophila melanogaster (Fruit fly)
P10083	Achaete-scute complex protein T5 (Protein achaete)	ac T5 CG3796	Drosophila melanogaster (Fruit fly)
P11420	Protein daughterless	da CG5102	Drosophila melanogaster (Fruit fly)
P14599	Amyloid-beta-like protein	Appl CG7727	Drosophila melanogaster (Fruit fly)
P15370	Protein embryonic gonad (Nuclear receptor subfamily 0 group A member 3) (Protein eagle) (Protein spready)	eg egon NR0A3 spry CG7383	Drosophila melanogaster (Fruit fly)
P23645	Neurogenic protein big brain	bib CG4722	Drosophila melanogaster (Fruit fly)
P25932	Protein escargot (Protein fleabag)	esg flg CG3758	Drosophila melanogaster (Fruit fly)
P26675	Protein son of sevenless	Sos CG7793	Drosophila melanogaster (Fruit fly)
P29503	Protein neuralized	neur neu CG11988	Drosophila melanogaster (Fruit fly)
P42283	Longitudinals lacking protein, isoform G	lola CG12052	Drosophila melanogaster (Fruit fly)
Q01071	Enhancer of split mdelta protein (E(spl)mdelta) (HLH-mdelta) (Split locus enhancer protein mC)	E(spl)mdelta-HLH HLHmdelta CG8328	Drosophila melanogaster (Fruit fly)
Q02280	Potassium voltage-gated channel protein eag (Ether-a-go-go protein)	eag CG10952	Drosophila melanogaster (Fruit fly)
Q24567	Netrin-A	NetA CG18657	Drosophila melanogaster (Fruit fly)
Q7KRY7	Protein lap4 (Protein scribble) (Protein smell-impaired)	scrib smi vart CG5462	Drosophila melanogaster (Fruit fly)
Q867Z4	Longitudinals lacking protein, isoforms F/I/K/T	lola CG12052	Drosophila melanogaster (Fruit fly)
Q8MQX9	Ankyrin repeat and LEM domain-containing protein 2 homolog	Ankle2 l(1)G0222 l(1)G0316 CG8465	Drosophila melanogaster (Fruit fly)
Q9VC47	Protein tolkin (EC 3.4.24.-) (Tolloid-related protein) (Tolloid-related protein 1)	tok tlr tlr-1 CG6863	Drosophila melanogaster (Fruit fly)
